question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms
AGI-041,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.188,3348,0,0.000,3963,0,0.250,1828,0,0.250,2416,0,0.250,5183
AGI-042,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.306,7503,0,0.333,14584,0,0.222,2442,0,0.333,6580,0,0.333,6404
AGI-043,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.139,8144,0,0.222,5402,0,0.111,4494,0,0.222,8520,0,0.000,14159
AGI-044,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.222,7757,0,0.222,3641,0,0.333,9855,0,0.222,10675,0,0.111,6858
AGI-045,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.071,7895,0,0.143,22560,0,0.000,1879,0,0.143,6505,0,0.000,634
AGI-046,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.071,2931,0,0.143,4932,0,0.000,1376,0,0.143,3339,0,0.000,2076
AGI-047,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.071,3011,0,0.143,3502,0,0.000,1435,0,0.143,4044,0,0.000,3061
AGI-048,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.281,3586,0,0.125,1717,0,0.375,3628,0,0.375,3677,0,0.250,5321
AGI-049,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.313,3746,0,0.375,3112,0,0.250,3381,0,0.375,2785,0,0.250,5706
AGI-050,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.219,2768,0,0.250,3864,0,0.250,2128,0,0.125,3240,0,0.250,1840
AGI-051,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.313,5661,0,0.250,9819,0,0.500,5731,0,0.250,3740,0,0.250,3355
AGI-052,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.344,2723,0,0.375,2473,0,0.375,2437,0,0.375,5486,0,0.250,497
AGI-053,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.344,3523,0,0.250,2888,0,0.375,2733,0,0.500,4544,0,0.250,3927
AGI-054,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.107,3127,0,0.143,4795,0,0.143,2274,0,0.143,3177,0,0.000,2263
AGI-055,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.094,4518,0,0.000,8340,0,0.000,1585,0,0.125,3537,0,0.250,4609
AGI-056,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.125,32673,0,0.000,1791,0,0.000,2402,0,0.250,5216,0,0.250,121284
AGI-057,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.475,5687,0,0.500,7563,0,0.600,1867,0,0.400,4070,0,0.400,9246
AGI-058,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.475,4137,0,0.400,5558,0,0.500,1806,0,0.500,3764,0,0.500,5420
AGI-059,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.450,3966,0,0.400,3727,0,0.400,3272,0,0.500,4696,0,0.500,4169
AGI-060,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.538,4820,0,0.385,6554,0,0.538,2479,0,0.615,6379,0,0.615,3869
AGI-061,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.442,3772,0,0.538,3270,0,0.615,7397,0,0.538,3593,0,0.077,826
AGI-062,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.519,4108,0,0.692,3936,0,0.615,4661,0,0.615,5940,0,0.154,1894
AGI-063,11,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.591,3499,1,0.727,4108,0,0.545,2699,0,0.545,4740,0,0.545,2450
AGI-064,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.409,5436,0,0.545,5802,0,0.455,3158,0,0.273,4856,0,0.364,7926
AGI-065,11,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.614,6632,1,0.727,11781,0,0.545,4526,0,0.636,5425,0,0.545,4796
AGI-066,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.278,3625,0,0.222,5081,0,0.333,3712,0,0.333,4793,0,0.222,915
AGI-067,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.333,7187,0,0.444,4522,0,0.444,2647,0,0.444,8319,0,0.000,13258
AGI-068,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.417,3052,0,0.444,7440,0,0.444,1376,0,0.444,2686,0,0.333,704
AGI-069,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.333,7104,0,0.333,8407,0,0.333,2187,0,0.333,3809,0,0.333,14011
AGI-070,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.205,3141,0,0.091,2897,0,0.273,4183,0,0.364,996,0,0.091,4487
AGI-071,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.159,6024,0,0.182,5779,0,0.273,2071,0,0.091,2537,0,0.091,13707
AGI-072,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,4685,0,0.273,7457,0,0.182,2440,0,0.273,3704,0,0.273,5137
AGI-073,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.227,7059,0,0.182,15342,0,0.182,4427,0,0.273,4356,0,0.273,4112
AGI-074,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.292,3905,0,0.250,6021,0,0.333,1833,0,0.333,3677,0,0.250,4089
AGI-075,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.333,3735,0,0.417,5954,0,0.333,6694,0,0.417,795,0,0.167,1496
AGI-076,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.333,5241,0,0.250,6655,0,0.250,8607,0,0.333,999,0,0.500,4704
AGI-077,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.375,5450,0,0.333,8119,0,0.417,3927,0,0.417,1139,0,0.333,8613
AGI-078,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.036,3022,0,0.000,3525,0,0.000,1429,0,0.000,4079,0,0.143,3053
AGI-079,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.143,3896,0,0.286,4297,0,0.286,1363,0,0.000,4452,0,0.000,5472
AGI-080,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.036,3723,0,0.000,4198,0,0.000,1649,0,0.000,3286,0,0.143,5757
AGI-081,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3122,0,0.000,4855,0,0.000,1973,0,0.000,2028,0,0.000,3632
AGI-082,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.292,5900,0,0.250,6845,0,0.333,9229,0,0.250,3748,0,0.333,3778
AGI-083,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,5715,0,0.333,2165,0,0.250,10218,0,0.250,3781,0,0.167,6695
AGI-084,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,6194,0,0.417,10465,0,0.250,8861,0,0.333,989,0,0.000,4461
AGI-085,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.104,5850,0,0.000,5435,0,0.167,6781,0,0.083,5442,0,0.167,5741
AGI-086,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,5116,0,0.545,3284,0,0.545,3215,0,0.636,859,0,0.273,13107
AGI-087,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.455,5739,0,0.636,9086,0,0.636,2482,0,0.364,3999,0,0.182,7389
AGI-088,11,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.432,5116,0,0.636,7886,1,0.727,2200,0,0.182,3259,0,0.182,7117
AGI-089,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.143,4165,0,0.000,6742,0,0.286,4873,0,0.000,2191,0,0.286,2855
AGI-090,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.286,3937,0,0.286,4942,0,0.286,1610,0,0.286,4775,0,0.286,4421
AGI-091,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.286,2280,0,0.286,4505,0,0.286,1697,0,0.286,630,0,0.286,2287
AGI-092,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.477,4163,0,0.182,3993,0,0.636,2828,0,0.545,4278,0,0.545,5551
AGI-093,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.341,5771,0,0.273,14933,0,0.545,1661,0,0.455,2594,0,0.091,3897
AGI-094,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.300,4716,0,0.400,10798,0,0.300,3585,0,0.400,1023,0,0.100,3457
AGI-095,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,3101,0,0.000,4580,0,0.500,2955,0,0.375,3284,0,0.125,1585
AGI-096,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.281,6036,0,0.375,13899,0,0.375,6346,0,0.250,864,0,0.125,3034
AGI-097,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.313,3501,0,0.375,8444,0,0.375,1279,0,0.375,795,0,0.125,3487
AGI-098,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2941,0,0.000,7365,0,0.375,1516,0,0.375,702,0,0.250,2181
AGI-099,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,6334,0,0.455,8246,0,0.273,1384,0,0.182,5258,0,0.091,10446
AGI-100,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.393,2623,0,0.429,2926,0,0.429,4807,0,0.429,605,0,0.286,2153
AGI-101,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.188,3061,0,0.000,8382,0,0.250,1151,0,0.250,2194,0,0.250,516
AGI-102,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.188,2129,0,0.000,946,0,0.250,3020,0,0.250,2554,0,0.250,1995
AGI-103,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1917,0,0.000,2576,0,0.000,1180,0,0.000,875,0,0.000,3036
AGI-104,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.281,2526,0,0.250,3457,0,0.375,1491,0,0.250,2070,0,0.250,3087
AGI-105,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2231,0,0.000,2393,0,0.000,2628,0,0.000,3368,0,0.000,536
AGI-106,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.365,1605,0,0.500,2098,0,0.320,1126,0,0.320,879,0,0.320,2316
AGI-107,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.143,2872,0,0.143,4893,0,0.143,1561,0,0.143,1079,0,0.143,3955
AGI-108,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.333,7239,0,0.333,14983,0,0.417,2846,0,0.417,6840,0,0.167,4285
AGI-109,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.180,3497,0,0.190,3856,0,0.340,1854,0,0.190,934,0,0.000,7342
AGI-110,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.442,7413,0,0.385,12300,0,0.538,6911,0,0.538,4948,0,0.308,5493
AGI-111,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.442,3777,0,0.538,3477,0,0.615,3382,0,0.538,4697,0,0.077,3550
AGI-112,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.097,6932,0,0.000,12403,0,0.260,3956,0,0.000,6008,0,0.130,5362
AGI-113,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.182,3710,0,0.182,2465,0,0.182,2056,0,0.182,5226,0,0.182,5091
AGI-114,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.159,3915,0,0.182,2026,0,0.182,5594,0,0.091,1005,0,0.182,7035
AGI-115,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.182,5811,0,0.182,5421,0,0.182,4997,0,0.182,7433,0,0.182,5391
