question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures
AGI-043,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.139,8144,0,0.222,5402,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,0,0.111,4494,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,0,0.222,8520,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,0,0.000,14159,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:direct_stablecoin_neutralized_usd|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check
AGI-044,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.222,7757,0,0.222,3641,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,0,0.333,9855,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:self_check,0,0.222,10675,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,0,0.111,6858,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check
AGI-045,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.071,7895,0,0.143,22560,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:self_check,0,0.000,1879,agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field,0,0.143,6505,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:self_check,0,0.000,634,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:total_fee_usd|agi_validation_failed:self_check
AGI-046,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.071,2931,0,0.143,4932,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:self_check,0,0.000,1376,agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field,0,0.143,3339,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:self_check,0,0.000,2076,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:total_fee_usd|agi_validation_failed:self_check
AGI-047,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.071,3011,0,0.143,3502,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:self_check,0,0.000,1435,agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field,0,0.143,4044,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:self_check,0,0.000,3061,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_steps|agi_validation_failed:expected_tokens|agi_validation_failed:completion_minutes|agi_validation_failed:total_fee_usd|agi_validation_failed:self_check
AGI-048,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.281,3586,0,0.125,1717,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:half_spread_bps|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check,0,0.375,3628,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check,0,0.375,3677,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check,0,0.250,5321,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check
AGI-049,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.313,3746,0,0.375,3112,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check,0,0.250,3381,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check,0,0.375,2785,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check,0,0.250,5706,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check
AGI-050,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.219,2768,0,0.250,3864,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check,0,0.250,2128,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check,0,0.125,3240,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|missing_field|missing_field|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check,0,0.250,1840,agi_validation_failed:intent|agi_validation_failed:half_spread_bps|agi_validation_failed:update_ms|agi_validation_failed:expected_1h_pnl_usd|agi_validation_failed:toxic_defense|agi_validation_failed:self_check
AGI-051,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.313,5661,0,0.250,9819,agi_validation_failed:intent|agi_validation_failed:decision|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:self_check,0,0.500,5731,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:self_check,0,0.250,3740,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:private_sale_usd|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:self_check,0,0.250,3355,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:expected_stay_value_usd|agi_validation_failed:self_check
AGI-052,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.344,2723,0,0.375,2473,agi_validation_failed:intent|agi_validation_failed:decision|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:self_check,0,0.375,2437,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:self_check,0,0.375,5486,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:self_check,0,0.250,497,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:expected_stay_value_usd|agi_validation_failed:self_check
AGI-053,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.344,3523,0,0.250,2888,agi_validation_failed:intent|agi_validation_failed:decision|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:self_check,0,0.375,2733,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|missing_field|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:self_check,0,0.500,4544,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:self_check,0,0.250,3927,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:exit_sequence|agi_validation_failed:expected_exit_value_usd|agi_validation_failed:expected_stay_value_usd|agi_validation_failed:self_check
AGI-054,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.107,3127,0,0.143,4795,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd|agi_validation_failed:self_check,0,0.143,2274,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd|agi_validation_failed:self_check,0,0.143,3177,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd|agi_validation_failed:self_check,0,0.000,2263,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.SOL_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd|agi_validation_failed:self_check
AGI-055,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.094,4518,0,0.000,8340,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.ETH_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd,0,0.000,1585,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.ETH_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd,0,0.125,3537,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.ETH_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:residual_1d_var_usd,0,0.250,4609,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd
AGI-056,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.125,32673,0,0.000,1791,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.BTC_short.notional_usd|agi_validation_failed:hedge_legs.ETH_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd,0,0.000,2402,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.BTC_short.notional_usd|agi_validation_failed:hedge_legs.ETH_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd,0,0.250,5216,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.ETH_put_spread.notional_usd|agi_validation_failed:residual_1d_var_usd,0,0.250,121284,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd
AGI-057,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.475,5687,0,0.500,7563,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check,0,0.600,1867,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:net_tax_benefit|agi_validation_failed:self_check,0,0.400,4070,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check,0,0.400,9246,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check
AGI-058,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.475,4137,0,0.400,5558,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check,0,0.500,1806,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:net_tax_benefit|agi_validation_failed:self_check,0,0.500,3764,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check,0,0.500,5420,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check
AGI-059,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.450,3966,0,0.400,3727,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check,0,0.400,3272,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check,0,0.500,4696,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check,0,0.500,4169,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains|agi_validation_failed:self_check
AGI-060,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.538,4820,0,0.385,6554,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:perp_short_allocation_usd.OKX|agi_validation_failed:perp_short_allocation_usd.dYdX|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,0,0.538,2479,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,0,0.615,6379,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,0,0.615,3869,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check
AGI-061,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.442,3772,0,0.538,3270,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,0,0.615,7397,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,0,0.538,3593,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,0,0.077,826,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:perp_short_allocation_usd.Binance|agi_validation_failed:perp_short_allocation_usd.Bybit|agi_validation_failed:perp_short_allocation_usd.OKX|agi_validation_failed:perp_short_allocation_usd.Hyperliquid|agi_validation_failed:perp_short_allocation_usd.dYdX|agi_validation_failed:leverage|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check
AGI-062,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.519,4108,0,0.692,3936,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:self_check,0,0.615,4661,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,0,0.615,5940,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check,0,0.154,1894,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:perp_short_allocation_usd.Binance|agi_validation_failed:perp_short_allocation_usd.OKX|agi_validation_failed:perp_short_allocation_usd.Bybit|agi_validation_failed:perp_short_allocation_usd.Hyperliquid|agi_validation_failed:perp_short_allocation_usd.dYdX|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd|agi_validation_failed:cascade_buffer_pct|agi_validation_failed:self_check
AGI-063,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.591,3499,0,0.727,4108,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,0,0.545,2699,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,0,0.545,4740,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,0,0.545,2450,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check
AGI-064,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.409,5436,0,0.545,5802,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,0,0.455,3158,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Coinbase|agi_validation_failed:venue_allocation_usd.Curve_BTC|agi_validation_failed:venue_allocation_usd.OTC_Circle|agi_validation_failed:self_check,0,0.273,4856,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|missing_field|missing_field|agi_validation_failed:venue_allocation_usd.OTC_Circle|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,0,0.364,7926,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Curve_BTC|agi_validation_failed:venue_allocation_usd.OTC_Circle|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check
AGI-065,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.614,6632,0,0.727,11781,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,0,0.545,4526,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.OTC_Circle|agi_validation_failed:venue_allocation_usd.Coinbase|agi_validation_failed:self_check,0,0.636,5425,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Uniswap_Arbitrum|agi_validation_failed:self_check,0,0.545,4796,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check
AGI-066,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.278,3625,0,0.222,5081,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:hedge_notional_usd.ARB|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.333,3712,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:hedge_notional_usd.ARB|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.333,4793,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:hedge_notional_usd.ARB|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.222,915,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:hedge_notional_usd.ARB|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check
AGI-067,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.333,7187,0,0.444,4522,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.444,2647,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.444,8319,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.000,13258,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:hedge_notional_usd.SUI|agi_validation_failed:hedge_notional_usd.SEI|agi_validation_failed:hedge_notional_usd.OP|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check
AGI-068,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.417,3052,0,0.444,7440,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.444,1376,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.444,2686,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.333,704,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check
AGI-069,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.333,7104,0,0.333,8407,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.333,2187,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.333,3809,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check,0,0.333,14011,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:crisis_beta_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd|agi_validation_failed:self_check
